"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","Ensmbl ID  (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"49","Dscam","13508","1196281","Dscam","Fly","42103","FBgn0261046","Dscam3","","9","8.78","moderate","No","Yes","eggNOG, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (Dscam3)    DRscDB Data: (Dscam3)"
"49","Dscam","13508","1196281","Dscam","Fly","31364","FBgn0000635","Fas2","","2","2","low","No","No","eggNOG, Panther","","Add","G2F details (Fas2)    DRscDB Data: (Fas2)"
"49","Dscam","13508","1196281","Dscam","Fly","31017","FBgn0021764","sdk","","2","1.86","low","No","No","eggNOG, TreeFam","","Add","G2F details (sdk)    DRscDB Data: (sdk)"
"50","Dyrk1a","13548","1330299","Dyrk1a","Fly","32771","FBgn0259168","mnb","","10","9.78","high","Yes","Yes","Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (mnb)    DRscDB Data: (mnb)"
"50","Dyrk1a","13548","1330299","Dyrk1a","Fly","34831","FBgn0016930","Dyrk2","","3","2.94","low","No","No","eggNOG, OMA, RoundUp","","Add","G2F details (Dyrk2)    DRscDB Data: (Dyrk2)"
"50","Dyrk1a","13548","1330299","Dyrk1a","Fly","3885567","FBgn0027101","Dyrk3","","2","1.93","low","No","No","eggNOG, RoundUp","","Add","G2F details (Dyrk3)    DRscDB Data: (Dyrk3)"
"50","Dyrk1a","13548","1330299","Dyrk1a","Fly","38070","FBgn0035142","Hipk","","2","1.93","low","No","No","eggNOG, RoundUp","","Add","G2F details (Hipk)    DRscDB Data: (Hipk)"
"51","Fmr1","14265","95564","Fmr1","Fly","37528","FBgn0028734","Fmr1","","12","11.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Fmr1)    DRscDB Data: (Fmr1)"
"52","Foxg1","15228","1347464","Foxg1","Fly","33608","FBgn0004567","slp2","","10","9.95","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (slp2)    DRscDB Data: (slp2)"
"52","Foxg1","15228","1347464","Foxg1","Fly","33607","FBgn0003430","slp1","","7","6.9","moderate","No","Yes","eggNOG, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, RoundUp, TreeFam","","Add","G2F details (slp1)    DRscDB Data: (slp1)"
"52","Foxg1","15228","1347464","Foxg1","Fly","43843","FBgn0039937","fd102C","","3","3.04","moderate","No","Yes","OrthoDB, OrthoFinder, RoundUp","","Add","G2F details (fd102C)    DRscDB Data: (fd102C)"
"52","Foxg1","15228","1347464","Foxg1","Fly","38471","FBgn0004895","FoxL1","","3","3.04","low","No","No","OrthoDB, OrthoFinder, RoundUp","","Add","G2F details (FoxL1)    DRscDB Data: (FoxL1)"
"52","Foxg1","15228","1347464","Foxg1","Fly","37631","FBgn0004896","fd59A","","3","3.04","low","No","No","OrthoDB, OrthoFinder, RoundUp","","Add","G2F details (fd59A)    DRscDB Data: (fd59A)"
"52","Foxg1","15228","1347464","Foxg1","Fly","33010","FBgn0031086","fd19B","","3","2.91","low","No","No","eggNOG, OrthoDB, OrthoFinder","","Add","G2F details (fd19B)    DRscDB Data: (fd19B)"
"52","Foxg1","15228","1347464","Foxg1","Fly","39252","FBgn0036134","FoxK","","2","2.04","low","No","No","OrthoDB, RoundUp","","Add","G2F details (FoxK)    DRscDB Data: (FoxK)"
"52","Foxg1","15228","1347464","Foxg1","Fly","43010","FBgn0004897","fd96Ca","","2","2.03","low","No","No","OrthoFinder, RoundUp","","Add","G2F details (fd96Ca)    DRscDB Data: (fd96Ca)"
"52","Foxg1","15228","1347464","Foxg1","Fly","43011","FBgn0004898","fd96Cb","","2","2.03","low","No","No","OrthoFinder, RoundUp","","Add","G2F details (fd96Cb)    DRscDB Data: (fd96Cb)"
"52","Foxg1","15228","1347464","Foxg1","Fly","40374","FBgn0014143","croc","","2","2.01","low","No","No","OrthoDB, OrthoFinder","","Add","G2F details (croc)    DRscDB Data: (croc)"
"53","Foxp1","108655","1914004","Foxp1","Fly","41182","FBgn0262477","FoxP","","8","7.8","high","Yes","Yes","eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (FoxP)    DRscDB Data: (FoxP)"
"54","Foxp2","114142","2148705","Foxp2","Fly","41182","FBgn0262477","FoxP","","8","7.72","high","Yes","Yes","eggNOG, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (FoxP)    DRscDB Data: (FoxP)"
"55","Gabrb2","14401","95620","Gabrb2","Fly","32554","FBgn0010240","Lcch3","","12","11.87","moderate","Yes","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Lcch3)    DRscDB Data: (Lcch3)"
"55","Gabrb2","14401","95620","Gabrb2","Fly","39054","FBgn0004244","Rdl","","3","3.01","low","No","No","eggNOG, OrthoDB, Panther","","Add","G2F details (Rdl)    DRscDB Data: (Rdl)"
"56","Gabrb3","14402","95621","Gabrb3","Fly","32554","FBgn0010240","Lcch3","","13","12.87","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Lcch3)    DRscDB Data: (Lcch3)"
"56","Gabrb3","14402","95621","Gabrb3","Fly","39054","FBgn0004244","Rdl","","3","3.01","low","No","No","eggNOG, OrthoDB, Panther","","Add","G2F details (Rdl)    DRscDB Data: (Rdl)"
"56","Gabrb3","14402","95621","Gabrb3","Fly","39949","FBgn0036727","CG7589","","2","1.85","low","No","No","eggNOG, Isobase","","Add","G2F details (CG7589)    DRscDB Data: (CG7589)"
"57","Gria2","14800","95809","Gria2","Fly","38742","FBgn0004619","GluRIA","","12","11.79","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (GluRIA)    DRscDB Data: (GluRIA)"
"57","Gria2","14800","95809","Gria2","Fly","44484","FBgn0264000","GluRIB","","10","9.85","moderate","No","No","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam","","Add","G2F details (GluRIB)    DRscDB Data: (GluRIB)"
"57","Gria2","14800","95809","Gria2","Fly","38616","FBgn0035604","Ir64a","","3","2.93","moderate","No","Yes","Compara, eggNOG, Panther","","Add","G2F details (Ir64a)    DRscDB Data: (Ir64a)"
"57","Gria2","14800","95809","Gria2","Fly","39983","FBgn0261401","Ir75c","","3","2.93","moderate","No","Yes","Compara, eggNOG, Panther","","Add","G2F details (Ir75c)    DRscDB Data: (Ir75c)"
"57","Gria2","14800","95809","Gria2","Fly","42471","FBgn0259215","Ir93a","","3","2.93","moderate","No","Yes","Compara, eggNOG, Panther","","Add","G2F details (Ir93a)    DRscDB Data: (Ir93a)"
"57","Gria2","14800","95809","Gria2","Fly","40198","FBgn0036937","Ir76b","","3","2.93","moderate","No","Yes","Compara, eggNOG, Panther","","Add","G2F details (Ir76b)    DRscDB Data: (Ir76b)"
"57","Gria2","14800","95809","Gria2","Fly","39982","FBgn0036757","Ir75a","","3","2.93","moderate","No","Yes","Compara, eggNOG, Panther","","Add","G2F details (Ir75a)    DRscDB Data: (Ir75a)"
"57","Gria2","14800","95809","Gria2","Fly","40065","FBgn0036829","Ir75d","","3","2.93","moderate","No","Yes","Compara, eggNOG, Panther","","Add","G2F details (Ir75d)    DRscDB Data: (Ir75d)"
"57","Gria2","14800","95809","Gria2","Fly","40891","FBgn0037501","Ir84a","","3","2.93","moderate","No","Yes","Compara, eggNOG, Panther","","Add","G2F details (Ir84a)    DRscDB Data: (Ir84a)"
"57","Gria2","14800","95809","Gria2","Fly","31692","FBgn0029966","Ir7c","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir7c)    DRscDB Data: (Ir7c)"
"57","Gria2","14800","95809","Gria2","Fly","37881","FBgn0034994","Ir60a","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir60a)    DRscDB Data: (Ir60a)"
"57","Gria2","14800","95809","Gria2","Fly","41052","FBgn0037630","Ir85a","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir85a)    DRscDB Data: (Ir85a)"
"57","Gria2","14800","95809","Gria2","Fly","31694","FBgn0029968","Ir7g","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir7g)    DRscDB Data: (Ir7g)"
"57","Gria2","14800","95809","Gria2","Fly","8673994","FBgn0261402","Ir75b","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir75b)    DRscDB Data: (Ir75b)"
"57","Gria2","14800","95809","Gria2","Fly","39269","FBgn0036150","Ir68a","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir68a)    DRscDB Data: (Ir68a)"
"57","Gria2","14800","95809","Gria2","Fly","31690","FBgn0029965","Ir7b","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir7b)    DRscDB Data: (Ir7b)"
"57","Gria2","14800","95809","Gria2","Fly","42473","FBgn0038837","KaiR1D","","2","1.93","low","No","No","eggNOG, RoundUp","","Add","G2F details (KaiR1D)    DRscDB Data: (KaiR1D)"
"57","Gria2","14800","95809","Gria2","Fly","44483","FBgn0028422","GluRIID","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIID)    DRscDB Data: (GluRIID)"
"57","Gria2","14800","95809","Gria2","Fly","43806","FBgn0039916","Ekar","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ekar)    DRscDB Data: (Ekar)"
"57","Gria2","14800","95809","Gria2","Fly","35394","FBgn0026255","clumsy","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (clumsy)    DRscDB Data: (clumsy)"
"57","Gria2","14800","95809","Gria2","Fly","33789","FBgn0020429","GluRIIB","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIIB)    DRscDB Data: (GluRIIB)"
"57","Gria2","14800","95809","Gria2","Fly","42476","FBgn0038840","Grik","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Grik)    DRscDB Data: (Grik)"
"57","Gria2","14800","95809","Gria2","Fly","33275","FBgn0046113","GluRIIC","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIIC)    DRscDB Data: (GluRIIC)"
"57","Gria2","14800","95809","Gria2","Fly","318623","FBgn0051201","GluRIIE","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIIE)    DRscDB Data: (GluRIIE)"
"57","Gria2","14800","95809","Gria2","Fly","33683","FBgn0031634","Ir25a","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir25a)    DRscDB Data: (Ir25a)"
"57","Gria2","14800","95809","Gria2","Fly","7354417","FBgn0259189","Ir7e","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir7e)    DRscDB Data: (Ir7e)"
"57","Gria2","14800","95809","Gria2","Fly","31107","FBgn0053513","Nmdar2","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Nmdar2)    DRscDB Data: (Nmdar2)"
"57","Gria2","14800","95809","Gria2","Fly","33788","FBgn0004620","GluRIIA","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIIA)    DRscDB Data: (GluRIIA)"
"57","Gria2","14800","95809","Gria2","Fly","43822","FBgn0039927","CG11155","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG11155)    DRscDB Data: (CG11155)"
"58","Grin2b","14812","95821","Grin2b","Fly","31107","FBgn0053513","Nmdar2","","11","10.78","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Nmdar2)    DRscDB Data: (Nmdar2)"
"58","Grin2b","14812","95821","Grin2b","Fly","31692","FBgn0029966","Ir7c","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir7c)    DRscDB Data: (Ir7c)"
"58","Grin2b","14812","95821","Grin2b","Fly","37881","FBgn0034994","Ir60a","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir60a)    DRscDB Data: (Ir60a)"
"58","Grin2b","14812","95821","Grin2b","Fly","41052","FBgn0037630","Ir85a","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir85a)    DRscDB Data: (Ir85a)"
"58","Grin2b","14812","95821","Grin2b","Fly","31694","FBgn0029968","Ir7g","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir7g)    DRscDB Data: (Ir7g)"
"58","Grin2b","14812","95821","Grin2b","Fly","8673994","FBgn0261402","Ir75b","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir75b)    DRscDB Data: (Ir75b)"
"58","Grin2b","14812","95821","Grin2b","Fly","39269","FBgn0036150","Ir68a","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir68a)    DRscDB Data: (Ir68a)"
"58","Grin2b","14812","95821","Grin2b","Fly","31690","FBgn0029965","Ir7b","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (Ir7b)    DRscDB Data: (Ir7b)"
"58","Grin2b","14812","95821","Grin2b","Fly","38616","FBgn0035604","Ir64a","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir64a)    DRscDB Data: (Ir64a)"
"58","Grin2b","14812","95821","Grin2b","Fly","44483","FBgn0028422","GluRIID","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIID)    DRscDB Data: (GluRIID)"
"58","Grin2b","14812","95821","Grin2b","Fly","43806","FBgn0039916","Ekar","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ekar)    DRscDB Data: (Ekar)"
"58","Grin2b","14812","95821","Grin2b","Fly","39983","FBgn0261401","Ir75c","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir75c)    DRscDB Data: (Ir75c)"
"58","Grin2b","14812","95821","Grin2b","Fly","44484","FBgn0264000","GluRIB","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIB)    DRscDB Data: (GluRIB)"
"58","Grin2b","14812","95821","Grin2b","Fly","35394","FBgn0026255","clumsy","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (clumsy)    DRscDB Data: (clumsy)"
"58","Grin2b","14812","95821","Grin2b","Fly","33789","FBgn0020429","GluRIIB","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIIB)    DRscDB Data: (GluRIIB)"
"58","Grin2b","14812","95821","Grin2b","Fly","42471","FBgn0259215","Ir93a","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir93a)    DRscDB Data: (Ir93a)"
"58","Grin2b","14812","95821","Grin2b","Fly","40198","FBgn0036937","Ir76b","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir76b)    DRscDB Data: (Ir76b)"
"58","Grin2b","14812","95821","Grin2b","Fly","38742","FBgn0004619","GluRIA","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIA)    DRscDB Data: (GluRIA)"
"58","Grin2b","14812","95821","Grin2b","Fly","42476","FBgn0038840","Grik","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Grik)    DRscDB Data: (Grik)"
"58","Grin2b","14812","95821","Grin2b","Fly","33275","FBgn0046113","GluRIIC","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIIC)    DRscDB Data: (GluRIIC)"
"58","Grin2b","14812","95821","Grin2b","Fly","318623","FBgn0051201","GluRIIE","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIIE)    DRscDB Data: (GluRIIE)"
"58","Grin2b","14812","95821","Grin2b","Fly","33683","FBgn0031634","Ir25a","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir25a)    DRscDB Data: (Ir25a)"
"58","Grin2b","14812","95821","Grin2b","Fly","7354417","FBgn0259189","Ir7e","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir7e)    DRscDB Data: (Ir7e)"
"58","Grin2b","14812","95821","Grin2b","Fly","39982","FBgn0036757","Ir75a","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir75a)    DRscDB Data: (Ir75a)"
"58","Grin2b","14812","95821","Grin2b","Fly","40065","FBgn0036829","Ir75d","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir75d)    DRscDB Data: (Ir75d)"
"58","Grin2b","14812","95821","Grin2b","Fly","40891","FBgn0037501","Ir84a","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Ir84a)    DRscDB Data: (Ir84a)"
"58","Grin2b","14812","95821","Grin2b","Fly","33788","FBgn0004620","GluRIIA","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (GluRIIA)    DRscDB Data: (GluRIIA)"
"58","Grin2b","14812","95821","Grin2b","Fly","43822","FBgn0039927","CG11155","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG11155)    DRscDB Data: (CG11155)"
"59","Iqsec2","245666","3528396","Iqsec2","Fly","40327","FBgn0026179","siz","","11","10.88","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (siz)    DRscDB Data: (siz)"
"59","Iqsec2","245666","3528396","Iqsec2","Fly","34785","FBgn0028538","Sec71","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Sec71)    DRscDB Data: (Sec71)"
"59","Iqsec2","245666","3528396","Iqsec2","Fly","36337","FBgn0264560","garz","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (garz)    DRscDB Data: (garz)"
"60","Kmt2a","214162","96995","Kmt2a","Fly","41737","FBgn0003862","trx","","7","6.91","moderate","Yes","No","eggNOG, Hieranoid, Inparanoid, OrthoInspector, orthoMCL, Panther, TreeFam","","Add","G2F details (trx)    DRscDB Data: (trx)"
"60","Kmt2a","214162","96995","Kmt2a","Fly","31149","FBgn0023518","trr","","2","1.94","low","No","No","Compara, OrthoDB","","Add","G2F details (trr)    DRscDB Data: (trr)"
"61","Kmt5b","225888","2444557","Kmt5b","Fly","31015","FBgn0025639","Hmt4-20","","9","8.85","high","Yes","Yes","eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Hmt4-20)    DRscDB Data: (Hmt4-20)"
"62","Magel2","27385","1351648","Magel2","Fly","40860","FBgn0037481","MAGE","","8","7.86","moderate","Yes","No","Compara, eggNOG, Inparanoid, OrthoDB, OrthoInspector, Panther, Phylome, TreeFam","","Add","G2F details (MAGE)    DRscDB Data: (MAGE)"
"63","Mboat7","77582","1924832","Mboat7","Fly","33900","FBgn0031815","frj","","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (frj)    DRscDB Data: (frj)"
"63","Mboat7","77582","1924832","Mboat7","Fly","40093","FBgn0026630","nes","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (nes)    DRscDB Data: (nes)"
"63","Mboat7","77582","1924832","Mboat7","Fly","36045","FBgn0033476","oys","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (oys)    DRscDB Data: (oys)"
"64","Mecp2","17257","99918","Mecp2","Fly","41151","FBgn0027950","MBD-like","","2","1.91","moderate","Yes","No","eggNOG, OrthoDB","","Add","G2F details (MBD-like)    DRscDB Data: (MBD-like)"
"65","Mef2c","17260","99458","Mef2c","Fly","36032","FBgn0011656","Mef2","","11","10.96","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Mef2)    DRscDB Data: (Mef2)"
"66","Myt1l","17933","1100511","Myt1l","Fly","31353","FBgn0263772","CG43689","","7","6.93","high","Yes","Yes","eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp","","Add","G2F details (CG43689)    DRscDB Data: (CG43689)"
"67","Nbea","26422","1347075","Nbea","Fly","44531","FBgn0266098","rg","","12","11.86","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (rg)    DRscDB Data: (rg)"
"68","Nf1","18015","97306","Nf1","Fly","43149","FBgn0015269","Nf1","","12","11.88","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (Nf1)    DRscDB Data: (Nf1)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40912","FBgn0083963","Nlg3","","11","10.86","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam","","Add","G2F details (Nlg3)    DRscDB Data: (Nlg3)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","42402","FBgn0083975","Nlg4","","8","7.93","moderate","No","No","eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam","","Add","G2F details (Nlg4)    DRscDB Data: (Nlg4)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","33962","FBgn0031866","Nlg2","","8","7.88","moderate","No","No","eggNOG, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam","","Add","G2F details (Nlg2)    DRscDB Data: (Nlg2)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40913","FBgn0051146","Nlg1","","7","6.78","moderate","No","Yes","eggNOG, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (Nlg1)    DRscDB Data: (Nlg1)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","34927","FBgn0001987","Gli","","5","5.02","moderate","No","Yes","eggNOG, OMA, OrthoDB, OrthoFinder, Panther","","Add","G2F details (Gli)    DRscDB Data: (Gli)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","41330","FBgn0027584","CG4757","","4","3.74","moderate","No","No","Compara, eggNOG, OrthoDB, orthoMCL","","Add","G2F details (CG4757)    DRscDB Data: (CG4757)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","37854","FBgn0034972","CG10339","","3","3.01","low","No","No","eggNOG, OrthoDB, Panther","","Add","G2F details (CG10339)    DRscDB Data: (CG10339)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40901","FBgn0015575","alpha-Est7","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est7)    DRscDB Data: (alpha-Est7)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40899","FBgn0015576","alpha-Est8","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est8)    DRscDB Data: (alpha-Est8)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","39392","FBgn0000592","Est-6","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Est-6)    DRscDB Data: (Est-6)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40908","FBgn0015570","alpha-Est2","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est2)    DRscDB Data: (alpha-Est2)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","34278","FBgn0032131","CG3841","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (CG3841)    DRscDB Data: (CG3841)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40905","FBgn0261393","alpha-Est5","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est5)    DRscDB Data: (alpha-Est5)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","39393","FBgn0000594","Est-P","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Est-P)    DRscDB Data: (Est-P)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","36779","FBgn0034076","Jhedup","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Jhedup)    DRscDB Data: (Jhedup)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40902","FBgn0015574","alpha-Est6","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est6)    DRscDB Data: (alpha-Est6)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","34194","FBgn0032057","CG9287","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (CG9287)    DRscDB Data: (CG9287)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","34279","FBgn0032132","CG4382","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (CG4382)    DRscDB Data: (CG4382)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","37572","FBgn0034736","gas","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (gas)    DRscDB Data: (gas)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40909","FBgn0015568","alpha-Est1","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est1)    DRscDB Data: (alpha-Est1)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","36780","FBgn0010052","Jhe","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Jhe)    DRscDB Data: (Jhe)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","34193","FBgn0001114","Glt","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Glt)    DRscDB Data: (Glt)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","34195","FBgn0032058","CG9289","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (CG9289)    DRscDB Data: (CG9289)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40897","FBgn0015577","alpha-Est9","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est9)    DRscDB Data: (alpha-Est9)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40896","FBgn0015569","alpha-Est10","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est10)    DRscDB Data: (alpha-Est10)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40906","FBgn0015572","alpha-Est4","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est4)    DRscDB Data: (alpha-Est4)"
